Categoría_id;Categoría_desc;Cadenas_id;Cadenas_desc;indicador;unidad;año;valor
1;Agroindustriales;1;Algodón textil;VAB;miles de pesos de 2018;2016;98.416.443
1;Agroindustriales;2;Apícola;VAB;miles de pesos de 2018;2016;4.544.000
1;Agroindustriales;3;Azucarera;VAB;miles de pesos de 2018;2016;33.978.008
1;Agroindustriales;4;Avícola;VAB;miles de pesos de 2018;2016;69.626.634
1;Agroindustriales;5;Porcina;VAB;miles de pesos de 2018;2016;42.670.466
1;Agroindustriales;6;Bovina;VAB;miles de pesos de 2018;2016;115.195.813
1;Agroindustriales;7;Arrocera;VAB;miles de pesos de 2018;2016;20.576.610
1;Agroindustriales;8;Maicera;VAB;miles de pesos de 2018;2016;73.470.341
1;Agroindustriales;9;Triguera;VAB;miles de pesos de 2018;2016;121.003.209
1;Agroindustriales;10;Cítricos dulces;VAB;miles de pesos de 2018;2016;7.567.474
1;Agroindustriales;11;Fruta de carozo;VAB;miles de pesos de 2018;2016;5.381.150
1;Agroindustriales;12;Láctea;VAB;miles de pesos de 2018;2016;155.919.901
1;Agroindustriales;13;Legumbres;VAB;miles de pesos de 2018;2016;17.819.874
1;Agroindustriales;14;Limón;VAB;miles de pesos de 2018;2016;11.466.335
1;Agroindustriales;15;Peras y manzanas;VAB;miles de pesos de 2018;2016;57.452.159
1;Agroindustriales;16;Sojera;VAB;miles de pesos de 2018;2016;383.039.712
1;Agroindustriales;17;Girasol;VAB;miles de pesos de 2018;2016;32.066.562
1;Agroindustriales;18;Caprina;VAB;miles de pesos de 2018;2016;299.640
1;Agroindustriales;19;Ovina;VAB;miles de pesos de 2018;2016;5.870.326
1;Agroindustriales;20;Pesca;VAB;miles de pesos de 2018;2016;65.541.580
1;Agroindustriales;21;Tabacalera;VAB;miles de pesos de 2018;2016;14.362.489
1;Agroindustriales;22;Tealera;VAB;miles de pesos de 2018;2016;1.059.397
1;Agroindustriales;23;Vitivinícola;VAB;miles de pesos de 2018;2016;63.834.475
1;Agroindustriales;24;Yerba mate;VAB;miles de pesos de 2018;2016;46.750.227
1;Agroindustriales;25;Frutas finas;VAB;miles de pesos de 2018;2016;6.229.389
1;Agroindustriales;26;Cebada;VAB;miles de pesos de 2018;2016;30.655.742
1;Agroindustriales;27;Hortícola;VAB;miles de pesos de 2018;2016;8.561.367
1;Agroindustriales;28;Maní;VAB;miles de pesos de 2018;2016;23.769.102
1;Agroindustriales;29;Olivícola;VAB;miles de pesos de 2018;2016;9.802.296
1;Agroindustriales;30;Sorgo;VAB;miles de pesos de 2018;2016;2.577.155
2;Energía y minería;31;Hidrocarburos;VAB;miles de pesos de 2018;2016;676.915.430
2;Energía y minería;32;Minería metalífera;VAB;miles de pesos de 2018;2016;65.838.370
2;Energía y minería;33;Minería no metalífera;VAB;miles de pesos de 2018;2016;103.453.596
3;Industria manufacturera;34;Equipos y aparatos eléctricos;VAB;miles de pesos de 2018;2016;35.781.781
3;Industria manufacturera;35;Automotriz y autopartista;VAB;miles de pesos de 2018;2016;275.712.821
3;Industria manufacturera;36;Construcción;VAB;miles de pesos de 2018;2016;669.949.536
3;Industria manufacturera;37;Medicamentos;VAB;miles de pesos de 2018;2016;60.510.764
3;Industria manufacturera;38;Quimica básica;VAB;miles de pesos de 2018;2016;28.158.259
3;Industria manufacturera;39;Forestal, papel y muebles;VAB;miles de pesos de 2018;2016;144.596.659
3;Industria manufacturera;40;Siderurgia;VAB;miles de pesos de 2018;2016;77.866.239
3;Industria manufacturera;41;Aluminio;VAB;miles de pesos de 2018;2016;27.578.239
3;Industria manufacturera;42;Maquinaria agrícola;VAB;miles de pesos de 2018;2016;34.566.148
3;Industria manufacturera;43;Plástica;VAB;miles de pesos de 2018;2016;106.516.991
3;Industria manufacturera;44;Cuero, marroquinería y calzado;VAB;miles de pesos de 2018;2016;24.042.008
3;Industria manufacturera;45;Agroquímica;VAB;miles de pesos de 2018;2016;24.538.851
3;Industria manufacturera;46;Equipamiento médico;VAB;miles de pesos de 2018;2016;8.287.631
2;Energía y minería;47;Energía eléctrica;VAB;miles de pesos de 2018;2016;207.898.823
3;Industria manufacturera;48;Aparatos de uso doméstico;VAB;miles de pesos de 2018;2016;20.194.128
3;Industria manufacturera;49;Bienes de capital;VAB;miles de pesos de 2018;2016;162.205.801
3;Industria manufacturera;50;Químicos de consumo;VAB;miles de pesos de 2018;2016;39.426.597
